Gender,Education_Level,Income_Category,Divorced,Married,Single,Unknown,Card_Category,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Avg_Trans_Value,Activity_Ratio,Attrition_Flag
1.05995352,-1.63721281,2.08222648,-0.28240402,-0.92821195,-0.79850522,3.53844579,-0.25058588,-0.53968325,2.04319710,-0.63621783,0.76394212,0.73586174,-0.44683022,-0.15717764,0.37325851,-0.19931320,0.43142661,-1.27082459,-0.97395359,-0.11909017,-0.21000360,-1.73160571,-0.63832486,0.00000000
1.05995352,0.59338777,-0.14516420,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,2.33006454,-1.03646162,2.25837513,1.40730526,-0.33908551,0.52808082,0.16803868,0.52050733,0.10899952,2.43647623,-1.21855487,-1.65569544,2.37590553,-0.36598219,-0.45794445,-1.63649348,0.00000000
1.05995352,-0.15014576,1.33976292,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,1.20711975,-1.03646162,0.00702505,-0.52278417,2.34828262,-1.90919677,0.53607215,-1.42685834,0.69641348,2.43647623,-1.11447801,-2.03917523,2.37590553,-0.99715138,1.86326977,-1.65230032,0.00000000
1.05995352,0.59338777,0.59729936,-0.28240402,-0.92821195,-0.79850522,3.53844579,-0.25058588,-1.41308475,0.50336774,-0.76486641,0.76394212,-1.41403276,0.52808082,0.09210406,0.61744614,0.02219571,2.23055222,-1.21994256,-1.35743338,2.37590553,-0.28980660,-1.08546357,-0.93109098,0.00000000
-0.94343381,0.59338777,-0.88762776,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,1.33189140,-0.26654694,1.55080796,0.76394212,-0.33908551,-0.44683022,-0.75467777,-0.59244835,-0.68732503,2.37686665,-1.10013853,-1.52786884,-0.46899810,0.01489577,-0.24901867,-1.50071871,0.00000000
1.05995352,0.59338777,1.33976292,-0.28240402,-0.92821195,-0.79850522,3.53844579,-0.25058588,-0.29013997,1.27328242,0.13567362,0.76394212,-1.41403276,-0.44683022,-0.50553463,-0.23414288,-0.47882977,2.43647623,-1.20282770,-1.61308657,2.37590553,-0.16284728,-0.49349815,-1.35646822,0.00000000
1.05995352,1.33692130,1.33976292,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,0.20894661,1.27328242,0.00702505,1.40730526,-0.33908551,0.52808082,2.21068681,1.47148931,2.20679279,2.43647623,-1.05341958,-1.61308657,1.14362107,-0.71421347,0.20087397,-1.33318114,0.00000000
1.05995352,0.59338777,1.33976292,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,-0.66445489,0.50336774,-0.25027210,0.12057897,1.81080899,-1.42174126,0.78327536,0.15729357,0.76466591,-0.53316483,-1.35084813,-1.86873977,2.37590553,-0.65254751,-0.55000613,-1.48523205,0.00000000
1.05995352,-0.89367928,-0.14516420,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,1.83097797,-1.03646162,2.25837513,-1.16614732,-0.33908551,0.52808082,-0.64978269,1.66168570,-0.83684355,2.43647623,-1.20837847,-1.48525998,2.22884277,1.86124701,-0.80650304,-1.55059972,0.00000000
-0.94343381,0.59338777,-0.88762776,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,-0.16536832,-0.26654694,0.13567362,1.40730526,-1.41403276,-0.44683022,0.91283534,-0.00713428,0.91266156,1.16299877,-1.26804921,-1.86873977,1.04219848,-0.70695865,-0.05525448,-1.54276482,0.00000000
1.05995352,2.08045482,0.59729936,3.54099904,-0.92821195,-0.79850522,-0.28260779,-0.25058588,0.08417496,-1.03646162,0.77891650,0.76394212,-0.33908551,-1.90919677,1.81476676,0.78187399,1.72476862,0.83785559,-1.28146356,-1.61308657,1.14362107,-0.68519419,-0.85895717,-1.45626997,0.00000000
-0.94343381,0.59338777,-0.88762776,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,1.95574961,-1.80637630,1.67945654,-1.16614732,0.73586174,0.52808082,-0.89292588,-1.42685834,-0.73130840,1.60194207,-1.50626959,-2.08178409,-0.52478053,-0.99715138,-0.88099226,-1.81967507,1.00000000
1.05995352,-0.89367928,-0.14516420,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,-0.66445489,0.50336774,-0.37892068,0.12057897,-0.33908551,-1.42174126,-0.47283286,-0.59244835,-0.40573182,2.43647623,-1.39571683,-1.99656636,2.37590553,-0.44578519,-0.38923490,-1.56816890,0.00000000
-0.94343381,0.59338777,-0.88762776,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,0.08417496,1.27328242,0.00702505,-0.52278417,0.73586174,-0.44683022,-0.74691803,0.48737635,-0.80140213,-0.96668907,-1.30551688,-1.78352204,-1.77734950,1.27360673,-0.54976578,-1.46082881,0.00000000
1.05995352,0.59338777,1.33976292,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,0.95757647,-0.26654694,0.77891650,0.12057897,-0.33908551,0.52808082,0.60064429,-1.42685834,0.76092795,1.75367555,-1.31291790,-1.86873977,0.23588889,-0.99715138,-0.32336012,-1.62038840,0.00000000
-0.94343381,0.59338777,-0.88762776,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,-0.66445489,0.50336774,-1.02216356,1.40730526,-1.41403276,-0.44683022,-0.01583949,0.62112736,-0.08606677,0.24717881,-1.34020917,-1.82613090,0.65679264,-0.21725842,-0.61847734,-1.29215154,0.00000000
1.05995352,-0.89367928,-0.14516420,-0.28240402,-0.92821195,-0.79850522,3.53844579,-0.25058588,1.58143468,-1.03646162,1.29351081,0.12057897,-1.41403276,-0.44683022,0.95634532,0.25914067,0.92609053,0.91914139,-1.27267484,-1.78352204,2.37590553,-0.65980233,-0.37058805,-1.62038840,0.00000000
1.05995352,0.59338777,0.59729936,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,2.08052126,-1.03646162,2.25837513,-0.52278417,0.73586174,-0.44683022,0.32323352,-0.18751409,0.34393741,0.49645525,-0.94564220,-1.05917132,1.50367126,-0.63803787,-0.62850298,-1.33586531,0.00000000
-0.94343381,-1.63721281,-0.88762776,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,-0.29013997,0.50336774,-0.25027210,0.76394212,-0.33908551,-0.44683022,0.30729834,-1.42685834,0.46784396,-1.22680361,-1.33974660,-1.99656636,2.37590553,-0.99715138,0.00094633,-1.58659932,0.00000000
1.05995352,-0.89367928,-0.14516420,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,0.08417496,1.27328242,0.77891650,1.40730526,-1.95150639,-1.90919677,-0.42918431,0.24441579,-0.45654043,-0.06712627,-1.34298455,-1.14438905,0.99655831,0.03666022,-1.79517715,-1.15538616,0.00000000
1.05995352,0.59338777,1.33976292,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,0.83280482,0.50336774,-0.37892068,-0.52278417,-0.33908551,0.52808082,-0.71075209,0.79537180,-0.80001770,1.22260836,-1.34622250,-1.69830431,2.37590553,1.38968382,-0.98140744,-1.32447789,0.00000000
1.05995352,-1.63721281,0.59729936,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,0.83280482,-0.26654694,1.55080796,-1.16614732,2.34828262,-1.42174126,-0.75259927,0.64689590,-0.82507589,2.43647623,-1.08811187,-1.65569544,2.37590553,1.50576091,0.17160417,-1.57252052,0.00000000
1.05995352,0.59338777,0.59729936,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,-0.66445489,1.27328242,0.00702505,0.12057897,-1.41403276,-0.44683022,0.14420519,1.66168570,-0.04356475,2.43647623,-1.09134981,-1.74091317,2.37590553,0.02577799,0.45158959,-1.42891690,0.00000000
-0.94343381,-0.15014576,-0.88762776,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,0.83280482,-0.26654694,0.26432220,0.76394212,-0.33908551,0.52808082,-0.72502447,0.40148120,-0.76983711,2.43647623,-1.17368618,-1.57047771,1.50367126,1.04145255,-0.46639583,-1.34829731,0.00000000
1.05995352,0.59338777,1.33976292,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,1.45666304,-1.80637630,1.67945654,1.40730526,-0.33908551,-0.44683022,0.64747988,0.65425834,0.57292226,-1.25931793,-1.22919384,-1.74091317,0.05332823,-0.50745115,-0.26911708,-1.63211115,0.00000000
-0.94343381,-0.15014576,-0.88762776,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,1.08234811,-1.03646162,0.00702505,0.12057897,-0.33908551,-1.42174126,-0.60447134,0.92176037,-0.70809150,-1.30808941,-1.17553644,-0.93134473,-1.11810267,0.97615918,-1.49213613,-0.82259045,0.00000000
-0.94343381,0.59338777,-0.88762776,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,1.08234811,0.50336774,0.00702505,1.40730526,-0.33908551,0.52808082,-0.67167624,1.39295660,-0.82839853,2.43647623,-0.95813143,-1.18699792,2.37590553,1.74879733,-0.44684255,-1.01406196,0.00000000
-0.94343381,-0.89367928,-0.88762776,-0.28240402,1.07733583,-0.79850522,-0.28260779,5.74158218,-0.53968325,1.27328242,0.00702505,-1.16614732,0.73586174,0.52808082,1.04627518,-1.42685834,1.20616087,0.61567442,-1.37952709,-1.82613090,2.37590553,-0.99715138,-0.84273628,-1.49274073,0.00000000
-0.94343381,0.59338777,-0.14516420,-0.28240402,-0.92821195,-0.79850522,3.53844579,-0.25058588,1.33189140,-1.03646162,1.67945654,-0.52278417,0.73586174,-0.44683022,-0.58340918,-0.33967120,-0.54472867,2.43647623,-1.14917030,-1.57047771,-0.74791022,-0.12294578,-0.35652780,-1.53832918,0.00000000
-0.94343381,2.08045482,-0.88762776,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,2.45483619,-1.80637630,2.25837513,0.76394212,1.81080899,0.52808082,-0.00004287,-0.68447886,0.07701917,1.62903733,-1.50071882,-2.08178409,-2.41124069,-0.71784087,-0.83745964,-1.85122788,1.00000000
1.05995352,0.59338777,1.33976292,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,-0.16536832,0.50336774,0.65026793,-1.16614732,-0.33908551,-0.44683022,2.21068681,-0.71760985,2.20679279,1.57484680,-1.31338046,-1.57047771,-1.16374284,-0.93185801,-1.09243634,-1.41023675,0.00000000
1.05995352,0.59338777,-0.14516420,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,0.58326154,-0.26654694,1.03621366,0.12057897,-1.41403276,-1.90919677,-0.23241943,1.27761169,-0.37652034,0.27969313,-1.20329027,-1.57047771,-0.74791022,0.29057886,-0.59906667,-1.46372989,0.00000000
-0.94343381,-0.15014576,-0.14516420,-0.28240402,-0.92821195,1.25233484,-0.28260779,2.74549815,0.45848989,-1.03646162,0.90756508,-0.52278417,-0.33908551,0.52808082,1.30553370,1.66168570,1.11672665,2.43647623,-1.01410165,-1.35743338,2.37590553,-0.47117705,-0.30275589,-1.31314342,0.00000000
1.05995352,-0.89367928,0.59729936,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,0.33371825,0.50336774,0.13567362,0.76394212,-0.33908551,-1.42174126,-0.55098454,-1.42685834,-0.38967243,2.43647623,-1.01410165,-1.40004225,1.50367126,-0.99715138,-0.20623660,-1.20122105,0.00000000
-0.94343381,0.59338777,-0.88762776,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,-1.03876982,1.27328242,-1.02216356,-1.16614732,0.73586174,0.52808082,0.26988529,1.09477774,0.14596382,1.22260836,-1.34437224,-1.78352204,1.08276751,-0.23902287,-0.76175070,-1.25112193,0.00000000
1.05995352,-1.63721281,1.33976292,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,0.33371825,1.27328242,-0.76486641,-0.52278417,-0.33908551,0.52808082,2.21068681,-1.42685834,2.20679279,2.43647623,-1.15842157,-1.57047771,2.37590553,-0.99715138,-0.39798743,-1.12256249,0.00000000
1.05995352,2.08045482,0.59729936,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,1.20711975,-0.26654694,1.16486223,1.40730526,-0.33908551,-1.90919677,-0.77587849,0.32785679,-0.81233913,2.43647623,-1.02104011,-1.61308657,-0.58563408,1.27360673,0.35135710,-1.50550550,0.00000000
1.05995352,2.08045482,-0.14516420,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,1.58143468,-1.03646162,2.06540226,-0.52278417,-0.33908551,-0.44683022,-0.73915828,1.05183016,-0.85733313,2.43647623,-1.03121651,-1.61308657,2.37590553,1.87938405,0.30406240,-1.59829553,0.00000000
1.05995352,-0.89367928,1.33976292,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,-0.04059668,0.50336774,0.52161935,0.12057897,0.73586174,0.52808082,1.60400663,0.33399216,1.56472843,0.19298828,-1.26342357,-1.61308657,0.48944537,-0.72872310,-0.77511657,-1.41934332,0.00000000
1.05995352,-0.15014576,1.33976292,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,0.70803318,-1.03646162,0.52161935,0.76394212,-1.41403276,-1.42174126,-0.43472698,0.07876087,-0.44338834,-0.69031736,-1.29904098,-1.05917132,-0.52478053,-0.05765242,-1.73713366,-1.04597387,0.00000000
-0.94343381,0.59338777,-0.88762776,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,0.70803318,0.50336774,0.65026793,1.40730526,0.73586174,-0.44683022,-0.72890434,0.47387854,-0.78188165,2.43647623,-0.95766886,-1.48525998,2.22884277,1.14664741,0.24214936,-1.35419630,0.00000000
-0.94343381,0.59338777,-0.88762776,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,0.95757647,-1.03646162,0.52161935,-1.16614732,0.73586174,-1.42174126,-0.89292588,-0.43538294,-0.84317040,1.33098942,-1.50025626,-1.95395750,0.99655831,1.04145255,-1.23765420,-1.64910913,1.00000000
-0.94343381,-0.89367928,-0.88762776,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,2.45483619,-1.80637630,2.25837513,-0.52278417,1.81080899,-0.44683022,-0.65283116,1.24693485,-0.79309554,2.43647623,-0.92621452,-1.14438905,2.37590553,1.49487869,-0.41893543,-1.37881219,0.00000000
1.05995352,0.59338777,2.08222648,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,0.33371825,-0.26654694,0.00702505,0.12057897,-0.33908551,-1.90919677,1.64626951,1.66168570,1.45715816,-0.47355524,-1.17229849,-1.27221565,-2.29967584,-0.53647042,-1.04641612,-1.07788579,0.00000000
1.05995352,0.59338777,2.08222648,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,1.20711975,-0.26654694,0.00702505,-1.80951046,0.73586174,0.52808082,1.09283363,-1.42685834,1.25267774,1.56942775,-1.54790033,-2.12439296,-1.72156708,-0.99715138,-1.06189448,-1.71612416,1.00000000
-0.94343381,0.59338777,-0.88762776,-0.28240402,-0.92821195,-0.79850522,3.53844579,-0.25058588,0.33371825,1.27328242,0.00702505,1.40730526,1.81080899,-0.44683022,-0.63523317,1.27270340,-0.77842058,-0.39768850,-1.33974660,-1.40004225,-0.52478053,1.42233050,-1.48319340,-1.17362155,0.00000000
-0.94343381,0.59338777,-0.88762776,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,0.33371825,0.50336774,0.00702505,-1.16614732,-0.33908551,-1.90919677,-0.70396231,1.47271638,-0.86965456,-0.00751668,-1.22734359,-1.05917132,-0.52478053,2.06075451,-1.51221513,-0.91832620,0.00000000
1.05995352,-1.63721281,-0.14516420,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,1.20711975,-0.26654694,1.80810511,0.12057897,-0.33908551,0.52808082,-0.47449566,0.88003987,-0.57352483,1.92708525,-1.16767285,-1.52786884,2.37590553,0.53361527,-0.54123762,-1.52848207,0.00000000
-0.94343381,0.59338777,-0.88762776,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,-0.29013997,2.04319710,-0.12162353,0.12057897,-1.41403276,-0.44683022,-0.22299688,-0.22678044,-0.19737500,2.43647623,-1.19773950,-1.69830431,1.92457500,-0.43127555,-0.23612903,-1.37421075,0.00000000
1.05995352,-0.89367928,0.59729936,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,-0.53968325,-0.26654694,-0.25027210,0.12057897,1.81080899,0.52808082,-0.62996763,0.72420154,-0.71127569,-0.33265986,-1.28608920,-1.61308657,2.37590553,0.90723841,-0.88045476,-1.28249751,0.00000000
1.05995352,0.59338777,1.33976292,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,1.08234811,0.50336774,1.42215938,0.12057897,-0.33908551,0.52808082,-0.61611095,1.04692187,-0.73384191,0.81076033,-1.31893123,-1.35743338,0.65679264,1.13213778,-1.46186681,-1.38817827,0.00000000
1.05995352,0.59338777,0.59729936,-0.28240402,1.07733583,-0.79850522,-0.28260779,2.74549815,0.20894661,-0.26654694,-0.12162353,-1.16614732,1.81080899,1.50299186,2.21068681,-1.42685834,2.20679279,0.06293101,-1.50673215,-2.12439296,-1.03189347,-0.99715138,-0.71750311,-1.70244762,1.00000000
1.05995352,-0.89367928,0.59729936,3.54099904,-0.92821195,-0.79850522,-0.28260779,-0.25058588,-0.91399818,-1.03646162,-0.37892068,0.76394212,0.73586174,0.52808082,-0.27107957,0.10821063,-0.28320971,1.04377961,-1.21762975,-1.57047771,2.28462520,-0.23176805,-0.66332910,-1.22003889,0.00000000
1.05995352,1.33692130,2.08222648,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,-0.29013997,1.27328242,-0.50756926,-1.16614732,1.81080899,-0.44683022,2.21068681,1.15245019,2.09524228,1.33098942,-1.23613230,-1.65569544,0.14967969,-0.67793937,-0.54277725,-1.26137933,0.00000000
1.05995352,-0.89367928,2.08222648,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,0.83280482,-0.26654694,1.03621366,0.12057897,-0.33908551,-0.44683022,0.94941698,0.57817979,0.88317318,1.28763699,-1.23011897,-1.78352204,1.08276751,-0.59450896,-0.13841408,-1.59427865,0.00000000
1.05995352,-1.63721281,1.33976292,-0.28240402,-0.92821195,1.25233484,-0.28260779,2.74549815,0.58326154,1.27328242,0.26432220,0.12057897,-1.41403276,1.50299186,2.21068681,0.43215804,2.20679279,-0.86372706,-1.22826871,-1.40004225,-0.52478053,-0.83754538,-1.04605336,-1.22736794,0.00000000
1.05995352,-0.15014576,0.59729936,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,1.33189140,-0.26654694,2.06540226,0.76394212,0.73586174,0.52808082,-0.17990260,0.80273424,-0.27047294,-0.71199358,-1.20051488,-1.27221565,-0.18501485,0.00401354,-1.14757764,-1.42155260,0.00000000
-0.94343381,-1.63721281,-0.88762776,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,-0.29013997,-0.26654694,-2.05135217,1.40730526,0.73586174,0.52808082,-0.80345329,0.37448558,-0.84515014,1.36892279,-1.30274149,-1.57047771,-0.74791022,1.55654464,-1.04475776,-0.58644229,0.00000000
1.05995352,0.59338777,0.59729936,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,0.33371825,-0.26654694,-0.50756926,-1.16614732,-0.33908551,-0.44683022,-0.85846432,-0.06848796,-0.85013409,2.43647623,-1.05388214,-2.03917523,2.37590553,1.38242900,2.31054607,-1.58448750,0.00000000
1.05995352,2.08045482,1.33976292,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,0.45848989,-0.26654694,0.26432220,1.40730526,-0.33908551,-0.44683022,2.21068681,0.20514944,2.20679279,1.73741839,-1.43919783,-2.12439296,2.37590553,-0.80489869,-0.15254649,-1.74131778,0.00000000
1.05995352,0.59338777,2.08222648,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,0.58326154,1.27328242,0.77891650,-0.52278417,-0.33908551,0.52808082,2.21068681,0.73647227,2.20679279,2.43647623,-1.10938980,-1.01656246,1.75722773,-0.81215351,-1.19704605,-1.07332694,0.00000000
-0.94343381,0.59338777,-0.88762776,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,1.08234811,-0.26654694,0.77891650,0.76394212,0.73586174,0.52808082,-0.78516247,-0.15806432,-0.76679136,0.03583574,-1.11401544,-1.22960678,-2.11711518,0.69684868,-0.90840160,-1.21009231,0.00000000
1.05995352,0.59338777,0.59729936,-0.28240402,-0.92821195,-0.79850522,3.53844579,-0.25058588,0.95757647,-1.03646162,0.90756508,0.12057897,-0.33908551,0.52808082,-0.68899710,1.06410090,-0.80860117,0.09544533,-1.24538358,-1.86873977,-1.53900642,1.53478019,0.08018033,-1.63374688,0.00000000
1.05995352,-1.63721281,1.33976292,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,-0.53968325,2.04319710,0.13567362,1.40730526,-0.33908551,-0.44683022,2.08275499,0.44810999,2.03017404,-1.82831850,-1.18154977,-1.27221565,-0.92032862,-0.75411497,-1.07958383,-1.10807274,0.00000000
1.05995352,-0.15014576,0.59729936,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,-0.29013997,-1.03646162,-0.12162353,-0.52278417,0.73586174,0.52808082,2.21068681,0.94384769,2.16792490,2.43647623,-1.20606565,-1.74091317,2.37590553,-0.71058606,-0.14819315,-1.40703444,0.00000000
1.05995352,0.59338777,1.33976292,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,0.83280482,-0.26654694,0.00702505,0.76394212,0.73586174,-0.44683022,-0.36170227,0.43215804,-0.41030045,0.57232199,-1.23011897,-1.35743338,-1.36151689,0.04391504,-1.12415923,-1.14170963,0.00000000
-0.94343381,0.59338777,-0.88762776,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,-0.29013997,1.27328242,0.00702505,1.40730526,1.81080899,-0.44683022,-0.12225880,1.66168570,-0.30979078,-1.49775626,-1.31199277,-1.78352204,2.37590553,0.30871591,-0.58509660,-1.46082881,0.00000000
-0.94343381,-1.63721281,-0.88762776,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,-1.16354147,0.50336774,-0.89351498,0.12057897,1.81080899,-0.44683022,-0.11699327,0.78310106,-0.20540470,-0.00209763,-0.74442693,-0.33482061,1.33125286,-0.06853464,-1.00955339,0.06324037,0.00000000
1.05995352,0.59338777,0.59729936,3.54099904,-0.92821195,-0.79850522,-0.28260779,-0.25058588,0.33371825,0.50336774,-0.76486641,1.40730526,-1.41403276,-0.44683022,-0.74082109,0.81009668,-0.83172116,-0.26221217,-1.14732004,-1.78352204,-1.77734950,1.61095578,0.31331569,-1.31403399,0.00000000
1.05995352,0.59338777,1.33976292,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,0.08417496,-0.26654694,0.26432220,1.40730526,0.73586174,-0.44683022,2.21068681,0.90335427,2.20679279,0.53438862,-1.20930360,-1.27221565,-1.53900642,-0.75774237,-1.17908696,-1.13667091,0.00000000
1.05995352,0.59338777,0.59729936,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,0.08417496,0.50336774,0.13567362,0.12057897,1.81080899,-1.90919677,0.09487540,0.65303127,0.02094973,2.43647623,-1.15240824,-1.01656246,2.37590553,-0.27892437,-1.32870568,-0.92177614,0.00000000
1.05995352,0.59338777,2.08222648,-0.28240402,-0.92821195,-0.79850522,3.53844579,-0.25058588,-0.29013997,-1.03646162,0.00702505,1.40730526,-0.33908551,-0.44683022,2.21068681,0.45424536,2.20679279,0.93539854,-1.08487392,-1.52786884,-0.90004411,-0.83754538,-0.18296918,-1.26935730,0.00000000
